ITEM CODE,工作表名称,图片文件名,图片URL,
CE11-BKCH-HWELI-001,五金杂件及工程灯具,CE11-BKCH-HWELI-001.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWELI-001.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-BKCH-HWELI-001', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWELI-001.png', '', 0, NOW());"
CE11-BKCH-HWELI-002,五金杂件及工程灯具,CE11-BKCH-HWELI-002.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWELI-002.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-BKCH-HWELI-002', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWELI-002.png', '', 0, NOW());"
CE11-BKCH-HWELI-003,五金杂件及工程灯具,CE11-BKCH-HWELI-003.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWELI-003.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-BKCH-HWELI-003', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWELI-003.png', '', 0, NOW());"
CE11-BKCH-HWELI-004,五金杂件及工程灯具,CE11-BKCH-HWELI-004.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWELI-004.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-BKCH-HWELI-004', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWELI-004.png', '', 0, NOW());"
CE11-BKCH-HWELI-005,五金杂件及工程灯具,CE11-BKCH-HWELI-005.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWELI-005.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-BKCH-HWELI-005', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWELI-005.png', '', 0, NOW());"
CE11-BKCH-HWELI-006,五金杂件及工程灯具,CE11-BKCH-HWELI-006.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWELI-006.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-BKCH-HWELI-006', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWELI-006.png', '', 0, NOW());"
CE11-BKCH-HWELI-007,五金杂件及工程灯具,CE11-BKCH-HWELI-007.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWELI-007.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-BKCH-HWELI-007', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWELI-007.png', '', 0, NOW());"
CE11-BKCH-HWELI-008,五金杂件及工程灯具,CE11-BKCH-HWELI-008.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWELI-008.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-BKCH-HWELI-008', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWELI-008.png', '', 0, NOW());"
CE11-BKCH-HWHPS-001,五金杂件及工程灯具,CE11-BKCH-HWHPS-001.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWHPS-001.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-BKCH-HWHPS-001', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWHPS-001.png', '', 0, NOW());"
CE11-BKCH-HWSWI-003,五金杂件及工程灯具,CE11-BKCH-HWSWI-003.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWSWI-003.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-BKCH-HWSWI-003', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWSWI-003.png', '', 0, NOW());"
CE11-BKCH-HWSWI-004,五金杂件及工程灯具,CE11-BKCH-HWSWI-004.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWSWI-004.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-BKCH-HWSWI-004', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWSWI-004.png', '', 0, NOW());"
CE11-BKCH-HWSWI-005,五金杂件及工程灯具,CE11-BKCH-HWSWI-005.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWSWI-005.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-BKCH-HWSWI-005', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWSWI-005.png', '', 0, NOW());"
CE11-BKCH-HWSWI-006,五金杂件及工程灯具,CE11-BKCH-HWSWI-006.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWSWI-006.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-BKCH-HWSWI-006', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWSWI-006.png', '', 0, NOW());"
CE11-BKCH-HWTRA-001,五金杂件及工程灯具,CE11-BKCH-HWTRA-001.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWTRA-001.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-BKCH-HWTRA-001', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWTRA-001.png', '', 0, NOW());"
CE11-BKCH-HWTRA-002,五金杂件及工程灯具,CE11-BKCH-HWTRA-002.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWTRA-002.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-BKCH-HWTRA-002', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-BKCH-HWTRA-002.png', '', 0, NOW());"
CE11-WHRN-HWELI-007,五金杂件及工程灯具,CE11-WHRN-HWELI-007.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-WHRN-HWELI-007.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-WHRN-HWELI-007', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-WHRN-HWELI-007.png', '', 0, NOW());"
CE11-WHRN-HWSWI-001,五金杂件及工程灯具,CE11-WHRN-HWSWI-001.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-WHRN-HWSWI-001.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-WHRN-HWSWI-001', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-WHRN-HWSWI-001.png', '', 0, NOW());"
CE11-WHRN-HWSWI-002,五金杂件及工程灯具,CE11-WHRN-HWSWI-002.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-WHRN-HWSWI-002.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CE11-WHRN-HWSWI-002', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CE11-WHRN-HWSWI-002.png', '', 0, NOW());"
CM03-TRBT-HWGLU-001,五金杂件及工程灯具,CM03-TRBT-HWGLU-001.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CM03-TRBT-HWGLU-001.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CM03-TRBT-HWGLU-001', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CM03-TRBT-HWGLU-001.png', '', 0, NOW());"
CM05-WHRN-HWVEN-001,五金杂件及工程灯具,CM05-WHRN-HWVEN-001.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CM05-WHRN-HWVEN-001.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('CM05-WHRN-HWVEN-001', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/CM05-WHRN-HWVEN-001.png', '', 0, NOW());"
MT06-GYQH-HWNIL-001,五金杂件及工程灯具,MT06-GYQH-HWNIL-001.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/MT06-GYQH-HWNIL-001.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('MT06-GYQH-HWNIL-001', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/MT06-GYQH-HWNIL-001.png', '', 0, NOW());"
MT08-HWRN-HWPUL-D01,五金杂件及工程灯具,MT08-HWRN-HWPUL-D01.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/MT08-HWRN-HWPUL-D01.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('MT08-HWRN-HWPUL-D01', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/MT08-HWRN-HWPUL-D01.png', '', 0, NOW());"
MT08-HWRN-HWTRK-D01,五金杂件及工程灯具,MT08-HWRN-HWTRK-D01.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/MT08-HWRN-HWTRK-D01.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('MT08-HWRN-HWTRK-D01', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/MT08-HWRN-HWTRK-D01.png', '', 0, NOW());"
MT08-MEGT-HWDAM-D01,五金杂件及工程灯具,MT08-MEGT-HWDAM-D01.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/MT08-MEGT-HWDAM-D01.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('MT08-MEGT-HWDAM-D01', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/MT08-MEGT-HWDAM-D01.png', '', 0, NOW());"
MT08-MEGT-HWNIL-001,五金杂件及工程灯具,MT08-MEGT-HWNIL-001.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/MT08-MEGT-HWNIL-001.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('MT08-MEGT-HWNIL-001', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/MT08-MEGT-HWNIL-001.png', '', 0, NOW());"
MT08-MEGT-HWNIL-002,五金杂件及工程灯具,MT08-MEGT-HWNIL-002.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/MT08-MEGT-HWNIL-002.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('MT08-MEGT-HWNIL-002', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/MT08-MEGT-HWNIL-002.png', '', 0, NOW());"
MT08-MEGT-HWNIL-003,五金杂件及工程灯具,MT08-MEGT-HWNIL-003.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/MT08-MEGT-HWNIL-003.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('MT08-MEGT-HWNIL-003', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/MT08-MEGT-HWNIL-003.png', '', 0, NOW());"
MT08-MEGT-MMCMP-003,五金杂件及工程灯具,MT08-MEGT-MMCMP-003.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/MT08-MEGT-MMCMP-003.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('MT08-MEGT-MMCMP-003', '五金杂件及工程灯具', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E4%BA%94%E9%87%91%E6%9D%82%E4%BB%B6%E5%8F%8A%E5%B7%A5%E7%A8%8B%E7%81%AF%E5%85%B7/MT08-MEGT-MMCMP-003.png', '', 0, NOW());"
MT01-NTBX-EQKAT-001,厨房电器及设备,MT01-NTBX-EQKAT-001.png,http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E5%8E%A8%E6%88%BF%E7%94%B5%E5%99%A8%E5%8F%8A%E8%AE%BE%E5%A4%87/MT01-NTBX-EQKAT-001.png,"INSERT INTO materials (code, name, image, description, price, create_time) VALUES ('MT01-NTBX-EQKAT-001', '厨房电器及设备', 'http://renli2026.oss-cn-chengdu.aliyuncs.com/materials/%E5%8E%A8%E6%88%BF%E7%94%B5%E5%99%A8%E5%8F%8A%E8%AE%BE%E5%A4%87/MT01-NTBX-EQKAT-001.png', '', 0, NOW());"
