pic_destination_folder,pic_source_try_order,category_db,old_code,new_code,src_found_folder,expected_src_rel,dst_rel,src_found
不锈钢,不锈钢 | 定制金属制品,定制金属制品,MT01-MEGT-MMCMP-001,MT04-GYHG-X036-001,,不锈钢/MT01-MEGT-MMCMP-001.png,不锈钢/MT04-GYHG-X036-001.png,no
不锈钢,不锈钢 | 定制金属制品,定制金属制品,MT01-MEGT-MMCMP-002,MT04-GYHG-X3E7-001,,不锈钢/MT01-MEGT-MMCMP-002.png,不锈钢/MT04-GYHG-X3E7-001.png,no
五金杂件,五金杂件 | 五金杂件及工程灯具,五金杂件及工程灯具,MT08-MEGT-HWNIL-001,HW10-GYHG-X8F5-001,,五金杂件/MT08-MEGT-HWNIL-001.png,五金杂件/HW10-GYHG-X8F5-001.png,no
五金杂件,五金杂件 | 五金杂件及工程灯具,五金杂件及工程灯具,MT08-MEGT-HWNIL-002,HW10-GYHG-MMX-001,,五金杂件/MT08-MEGT-HWNIL-002.png,五金杂件/HW10-GYHG-MMX-001.png,no
五金杂件,五金杂件 | 五金杂件及工程灯具,五金杂件及工程灯具,MT08-MEGT-MMCMP-003,HW10-GYHG-XA65-001,,五金杂件/MT08-MEGT-MMCMP-003.png,五金杂件/HW10-GYHG-XA65-001.png,no
五金杂件,五金杂件 | 五金杂件及工程灯具,五金杂件及工程灯具,MT08-MEGT-MMCMP-002,HW10-GYHG-X06B-001,,五金杂件/MT08-MEGT-MMCMP-002.png,五金杂件/HW10-GYHG-X06B-001.png,no
五金杂件,五金杂件 | 五金杂件及工程灯具,五金杂件及工程灯具,MT08-MEGT-MMCMP-004,HW10-GYHG-MMX-002,,五金杂件/MT08-MEGT-MMCMP-004.png,五金杂件/HW10-GYHG-MMX-002.png,no
五金杂件,五金杂件 | 五金杂件及工程灯具,五金杂件及工程灯具,MT08-MEGT-MMCMP-001,HW10-GYHG-XCDE-001,,五金杂件/MT08-MEGT-MMCMP-001.png,五金杂件/HW10-GYHG-XCDE-001.png,no
五金杂件,五金杂件 | 五金杂件及工程灯具,五金杂件及工程灯具,MT08-MEGT-MMCMP-005,HW10-GYHG-XF3D-001,,五金杂件/MT08-MEGT-MMCMP-005.png,五金杂件/HW10-GYHG-XF3D-001.png,no
五金杂件,五金杂件 | 五金杂件及工程灯具,五金杂件及工程灯具,MT08-MEGT-MMCMP-005,HW10-GYHG-X68E-001,,五金杂件/MT08-MEGT-MMCMP-005.png,五金杂件/HW10-GYHG-X68E-001.png,no
五金杂件,五金杂件 | 五金杂件及工程灯具,五金杂件及工程灯具,MT08-MEGT-MMCMP-004,HW10-GYHG-X07B-001,,五金杂件/MT08-MEGT-MMCMP-004.png,五金杂件/HW10-GYHG-X07B-001.png,no
五金杂件,五金杂件 | 五金杂件及工程灯具,五金杂件及工程灯具,MT08-MEGT-HWDAM-D01,HW10-GYHG-NFMB-001,,五金杂件/MT08-MEGT-HWDAM-D01.png,五金杂件/HW10-GYHG-NFMB-001.png,no
五金杂件,五金杂件 | 五金杂件及工程灯具,五金杂件及工程灯具,MT08-HWRN-HWTRK-D01,HW10-GYHG-X745-001,,五金杂件/MT08-HWRN-HWTRK-D01.png,五金杂件/HW10-GYHG-X745-001.png,no
五金杂件,五金杂件 | 五金杂件及工程灯具,五金杂件及工程灯具,MT08-HWRN-HWPUL-D01,HW10-GYHG-X7F3-001,,五金杂件/MT08-HWRN-HWPUL-D01.png,五金杂件/HW10-GYHG-X7F3-001.png,no
五金杂件,五金杂件 | 五金杂件及工程灯具,五金杂件及工程灯具,MT08-MEGT-MMCMP-003,HW10-GYHG-X666-001,,五金杂件/MT08-MEGT-MMCMP-003.png,五金杂件/HW10-GYHG-X666-001.png,no
五金杂件,五金杂件 | 五金杂件及工程灯具,五金杂件及工程灯具,MT08-MEGT-HWNIL-003,HW10-GYHG-X515-001,,五金杂件/MT08-MEGT-HWNIL-003.png,五金杂件/HW10-GYHG-X515-001.png,no
五金杂件,五金杂件 | 五金杂件及工程灯具,五金杂件及工程灯具,MT06-GYQH-HWNIL-001,HW10-GYHG-X558-001,,五金杂件/MT06-GYQH-HWNIL-001.png,五金杂件/HW10-GYHG-X558-001.png,no
五金杂件,五金杂件 | 五金杂件及工程灯具,五金杂件及工程灯具,MT06-GYQH-HWNIL-001,HW10-GYHG-X428-001,,五金杂件/MT06-GYQH-HWNIL-001.png,五金杂件/HW10-GYHG-X428-001.png,no
五金杂件,五金杂件 | 五金杂件及工程灯具,五金杂件及工程灯具,CM03-TRBT-HWGLU-001,HW10-GYHG-X08B-001,,五金杂件/CM03-TRBT-HWGLU-001.png,五金杂件/HW10-GYHG-X08B-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-001,KT08-GYHG-X29B-001,,厨房设备/MT01-NTBX-EQKAT-001.png,厨房设备/KT08-GYHG-X29B-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-002,KT08-GYHG-X151-001,,厨房设备/MT01-NTBX-EQKAT-002.png,厨房设备/KT08-GYHG-X151-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-003,KT08-GYHG-SYN-001,,厨房设备/MT01-NTBX-EQKAT-003.png,厨房设备/KT08-GYHG-SYN-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-004,KT08-GYHG-SYK-001,,厨房设备/MT01-NTBX-EQKAT-004.png,厨房设备/KT08-GYHG-SYK-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-005,KT08-GYHG-XF07-001,,厨房设备/MT01-NTBX-EQKAT-005.png,厨房设备/KT08-GYHG-XF07-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-006,KT08-GYHG-SNC-001,,厨房设备/MT01-NTBX-EQKAT-006.png,厨房设备/KT08-GYHG-SNC-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-007,KT08-GYHG-XA6D-001,,厨房设备/MT01-NTBX-EQKAT-007.png,厨房设备/KT08-GYHG-XA6D-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-008,KT08-GYHG-X399-001,,厨房设备/MT01-NTBX-EQKAT-008.png,厨房设备/KT08-GYHG-X399-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-009,KT08-GYHG-X47D-001,,厨房设备/MT01-NTBX-EQKAT-009.png,厨房设备/KT08-GYHG-X47D-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-010,KT08-GYHG-XC5E-001,,厨房设备/MT01-NTBX-EQKAT-010.png,厨房设备/KT08-GYHG-XC5E-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-011,KT08-GYHG-X772-001,,厨房设备/MT01-NTBX-EQKAT-011.png,厨房设备/KT08-GYHG-X772-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-012,KT08-GYHG-X5A8-001,,厨房设备/MT01-NTBX-EQKAT-012.png,厨房设备/KT08-GYHG-X5A8-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-013,KT08-GYHG-XEC8-001,,厨房设备/MT01-NTBX-EQKAT-013.png,厨房设备/KT08-GYHG-XEC8-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-014,KT08-GYHG-XC27-001,,厨房设备/MT01-NTBX-EQKAT-014.png,厨房设备/KT08-GYHG-XC27-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-015,KT08-GYHG-X93B-001,,厨房设备/MT01-NTBX-EQKAT-015.png,厨房设备/KT08-GYHG-X93B-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-016,KT08-GYHG-XE0F-001,,厨房设备/MT01-NTBX-EQKAT-016.png,厨房设备/KT08-GYHG-XE0F-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-017,KT08-GYHG-X7BB-001,,厨房设备/MT01-NTBX-EQKAT-017.png,厨房设备/KT08-GYHG-X7BB-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-018,KT08-GYHG-XD1A-001,,厨房设备/MT01-NTBX-EQKAT-018.png,厨房设备/KT08-GYHG-XD1A-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-019,KT08-GYHG-SPO-001,,厨房设备/MT01-NTBX-EQKAT-019.png,厨房设备/KT08-GYHG-SPO-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-020,KT08-GYHG-SPO-002,,厨房设备/MT01-NTBX-EQKAT-020.png,厨房设备/KT08-GYHG-SPO-002.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-021,KT08-GYHG-SPS-001,,厨房设备/MT01-NTBX-EQKAT-021.png,厨房设备/KT08-GYHG-SPS-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-022,KT08-GYHG-SCX-001,,厨房设备/MT01-NTBX-EQKAT-022.png,厨房设备/KT08-GYHG-SCX-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-023,KT08-GYHG-KGX-001,,厨房设备/MT01-NTBX-EQKAT-023.png,厨房设备/KT08-GYHG-KGX-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-024,KT08-GYHG-SYX-001,,厨房设备/MT01-NTBX-EQKAT-024.png,厨房设备/KT08-GYHG-SYX-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-025,KT08-GYHG-SQB-001,,厨房设备/MT01-NTBX-EQKAT-025.png,厨房设备/KT08-GYHG-SQB-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-026,KT08-GYHG-SXAA-001,,厨房设备/MT01-NTBX-EQKAT-026.png,厨房设备/KT08-GYHG-SXAA-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-027,KT08-GYHG-X0E3-001,,厨房设备/MT01-NTBX-EQKAT-027.png,厨房设备/KT08-GYHG-X0E3-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-028,KT08-GYHG-SYD-001,,厨房设备/MT01-NTBX-EQKAT-028.png,厨房设备/KT08-GYHG-SYD-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-029,KT08-GYHG-XD13-001,,厨房设备/MT01-NTBX-EQKAT-029.png,厨房设备/KT08-GYHG-XD13-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-030,KT08-GYHG-XDCB-001,,厨房设备/MT01-NTBX-EQKAT-030.png,厨房设备/KT08-GYHG-XDCB-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-031,KT08-GYHG-XA3B-001,,厨房设备/MT01-NTBX-EQKAT-031.png,厨房设备/KT08-GYHG-XA3B-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-032,KT08-GYHG-X692-001,,厨房设备/MT01-NTBX-EQKAT-032.png,厨房设备/KT08-GYHG-X692-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-033,KT08-GYHG-XC43-001,,厨房设备/MT01-NTBX-EQKAT-033.png,厨房设备/KT08-GYHG-XC43-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-034,KT08-GYHG-X959-001,,厨房设备/MT01-NTBX-EQKAT-034.png,厨房设备/KT08-GYHG-X959-001.png,no
厨房设备,厨房设备 | 厨房电器及设备,厨房电器及设备,MT01-NTBX-EQKAT-035,KT08-GYHG-SYA-001,,厨房设备/MT01-NTBX-EQKAT-035.png,厨房设备/KT08-GYHG-SYA-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,CE01-GYHG-ABRTL-001,WD08-GYHG-X870-001,,古建木结构/CE01-GYHG-ABRTL-001.png,古建木结构/WD08-GYHG-X870-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,CE01-GYHG-ABETH-001,WD08-GYHG-X1D6-001,,古建木结构/CE01-GYHG-ABETH-001.png,古建木结构/WD08-GYHG-X1D6-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD012-WDAM-ABLIT-001,WD08-GYHG-X7BA-001,,古建木结构/WD012-WDAM-ABLIT-001.png,古建木结构/WD08-GYHG-X7BA-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD08-WDAM-ABSQR-001,WD08-GYHG-X67B-001,,古建木结构/WD08-WDAM-ABSQR-001.png,古建木结构/WD08-GYHG-X67B-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD012-WDAM-ABPED-004,WD08-GYHG-X222-001,,古建木结构/WD012-WDAM-ABPED-004.png,古建木结构/WD08-GYHG-X222-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD012-WDAM-ABPED-005,WD08-GYHG-X756-001,,古建木结构/WD012-WDAM-ABPED-005.png,古建木结构/WD08-GYHG-X756-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD012-WDAM-ABPED-005,WD08-GYHG-X35E-001,,古建木结构/WD012-WDAM-ABPED-005.png,古建木结构/WD08-GYHG-X35E-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD08-WDAM-ABHLC-001,WD08-GYHG-X9F9-001,,古建木结构/WD08-WDAM-ABHLC-001.png,古建木结构/WD08-GYHG-X9F9-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD012-WDAM-ABHOC-001,WD08-GYHG-XFE2-001,,古建木结构/WD012-WDAM-ABHOC-001.png,古建木结构/WD08-GYHG-XFE2-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD08-WDAM-ABTAB-001,WD08-GYHG-XFC0-001,,古建木结构/WD08-WDAM-ABTAB-001.png,古建木结构/WD08-GYHG-XFC0-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD08-WDAM-ABTAB-002,WD08-GYHG-XD82-001,,古建木结构/WD08-WDAM-ABTAB-002.png,古建木结构/WD08-GYHG-XD82-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD08-WDAM-ABLAT-002,WD08-GYHG-XE6A-001,,古建木结构/WD08-WDAM-ABLAT-002.png,古建木结构/WD08-GYHG-XE6A-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD012-WDAM-ABPED-005,WD08-GYHG-X0D3-001,,古建木结构/WD012-WDAM-ABPED-005.png,古建木结构/WD08-GYHG-X0D3-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD08-WDAM-ABCOD-001,WD08-GYHG-X4EC-001,,古建木结构/WD08-WDAM-ABCOD-001.png,古建木结构/WD08-GYHG-X4EC-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD08-WDAM-ABIPL-001,WD08-GYHG-X6E2-001,,古建木结构/WD08-WDAM-ABIPL-001.png,古建木结构/WD08-GYHG-X6E2-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD012-WDAM-ABWPS-001,WD08-GYHG-X962-001,,古建木结构/WD012-WDAM-ABWPS-001.png,古建木结构/WD08-GYHG-X962-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD08-WDAM-ABIPA-001,WD08-GYHG-X152-001,,古建木结构/WD08-WDAM-ABIPA-001.png,古建木结构/WD08-GYHG-X152-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD08-WDAM-WBWPS-001,WD08-GYHG-X324-001,,古建木结构/WD08-WDAM-WBWPS-001.png,古建木结构/WD08-GYHG-X324-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD012-WDAM-ABCOR-004,WD08-GYHG-X8DB-001,,古建木结构/WD012-WDAM-ABCOR-004.png,古建木结构/WD08-GYHG-X8DB-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD012-WDAM-ABFHS-001,WD08-GYHG-XE14-001,,古建木结构/WD012-WDAM-ABFHS-001.png,古建木结构/WD08-GYHG-XE14-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD012-WDAM-ABBAL-002,WD08-GYHG-X394-001,,古建木结构/WD012-WDAM-ABBAL-002.png,古建木结构/WD08-GYHG-X394-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD08-WDAM-ABCOL-001,WD08-GYHG-XFE4-001,,古建木结构/WD08-WDAM-ABCOL-001.png,古建木结构/WD08-GYHG-XFE4-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD08-WDAM-ABCOL-002,WD08-GYHG-X04D-001,,古建木结构/WD08-WDAM-ABCOL-002.png,古建木结构/WD08-GYHG-X04D-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD08-WDAM-ABCOL-004,WD08-GYHG-XB96-001,,古建木结构/WD08-WDAM-ABCOL-004.png,古建木结构/WD08-GYHG-XB96-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD08-WDAM-ABGEB-001,WD08-GYHG-X367-001,,古建木结构/WD08-WDAM-ABGEB-001.png,古建木结构/WD08-GYHG-X367-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD08-WDAM-ABBEA-001,WD08-GYHG-XCC1-001,,古建木结构/WD08-WDAM-ABBEA-001.png,古建木结构/WD08-GYHG-XCC1-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD012-WDAM-ABCOR-001,WD08-GYHG-X7CE-001,,古建木结构/WD012-WDAM-ABCOR-001.png,古建木结构/WD08-GYHG-X7CE-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD012-WDAM-ABCOR-002,WD08-GYHG-XDF5-001,,古建木结构/WD012-WDAM-ABCOR-002.png,古建木结构/WD08-GYHG-XDF5-001.png,no
古建木结构,古建木结构 | 定制中式建筑结构,定制中式建筑结构,WD012-WDAM-ABCOR-003,WD08-GYHG-X38A-001,,古建木结构/WD012-WDAM-ABCOR-003.png,古建木结构/WD08-GYHG-X38A-001.png,no
